545|S0805|0.1%|0.2W|321-5535-00
150|S0805|1%|0.125W|325-5067-00
487K|S0805|0.5%|0.1W|325-5133-00
56.2|S0805|1%|0.125W|325-5044-00
110|S0805|1%|0.125W|325-5078-00
90.9|S0805|1%|0.125W|321-5495-00
182|S0805|0.1%|0.1W|321-5766-00
287|S0805|0.1%|0.2W|321-5531-00
82.5|S0805|1%|0.125W|325-5076-00
934|S0805|0.1%|0.2W|321-5543-00
10|S0805|1%|0.125W|325-5041-00
0.025|S0805|5%|0.25W|321-2072-00
470|S0805|1%|0.125W|321-5689-00
10K|S0805|0.1%|0.1W|321-5777-00
150|S0805|0.1%|0.1W|321-5765-00
57.60|S0805|0.1%|0.1W|321-5787-00
118|S0805|0.1%|0.1W|321-2293-00
287|S0805|0.1%|0.1W|321-5770-00
11|S0805|1%|0.125W|321-5224-00
127|S0805|1%|0.125W|321-5725-00
100|S0805|1%|0.125W|321-5135-00
15K|S0805|1%|0.125W|325-5084-00
64.90|S0805|0.1%|0.1W|321-5779-00
503|S0805|0.1%|0.2W|321-5533-00
1.21K|S0805|1%|0.125W|325-5050-00
869|S0805|0.1%|0.2W|321-5542-00
39.2|S0805|1%|0.125W|325-5081-00
4.70K|S0805|1%|0.125W|325-5080-00
133|S0805|0.1%|0.1W|321-5764-00
59|S0805|1%|0.125W|321-5694-00
26.70|S0805|0.1%|0.1W|321-5778-00
332K|S0805|1%|0.125W|321-5498-00
82.5K|S0805|1%|0.125W|321-5501-00
619|S0805|0.1%|0.1W|321-2817-00
17.4|S0805|1%|0.125W|321-5822-00
10K|S0805|1%|0.125W|321-5079-00
976K|S0805|0.5%|.1W|325-5130-00
309|S0805|0.1%|0.1W|321-5785-00
619|S0805|1%|0.125W|325-5097-00
8.20K|S0805|5%|0.062W|307-1170-00
16.5K|S0805|1%|0.125W|321-5085-00
20K|S0805|0.1%|0.1W|321-5771-00
805|S0805|0.1%|0.2W|321-5541-00
1.470K|S0805|0.1%|0.2W|321-5545-00
3.3K|S0805|0.1%|0.1W|321-2831-00
656|S0805|0.1%|0.2W|321-5538-00
2.74K|S0805|1%|0.125W|325-5091-00
200|S0805|0.1%|0.1W|321-5776-00
49.90|S0805|0.1%|0.1W|321-5774-00
10|S0805|5%|0.062W|325-5024-00
2M|S0805|1%|0.125W|321-5235-00
20K|S0805|1%|0.125W|321-5078-00
18.2|S0805|1%|0.125W|321-2838-00
174|S0805|1%|0.125W|321-2839-00
637|S0805|0.1%|0.2W|321-5537-00
511|S0805|1%|0.125W|321-5080-00
1K|S0805|1%|0.125W|325-5049-00
61.90|S0805|0.1%|0.1W|321-5760-00
1.30K|S0805|1%|0.125W|325-5075-00
2.49K|S0805|0.1%|0.1W|321-2383-00
102|S0805|||321-5729-00
1K|S0805|0.1%|0.1W|325-M244-00
1M|S0805|5%|0.062W|307-1161-00
3.92K|S0805|1%|0.125W|325-5052-00
5.760K|S0805|0.1%|0.1W|321-5788-00
2.70K|S0805|5%|0.062W|307-1164-00
26.7K|S0805|0.1%|0.1W|321-2805-00
3.57K|S0805|1%|0.125W|325-5068-00
232|S0805|1%|0.125W|321-5162-00
100|S0805|0.1%|0.1W|321-5775-00
442|S0805|0.1%|0.1W|321-2295-00
442|S0805|1%|0.125W|321-5225-00
750|S0805|1%|0.125W|321-5803-00
40.20K|S0805|0.1%|0.1W|321-5790-00
